"Date","Close","Volume"
"23.08.2016",974.36,80692760
"24.08.2016",976.51,85985140
"25.08.2016",968.53,77889180
"26.08.2016",973.51,71035480
"29.08.2016",970.24,51668550
"30.08.2016",979.35,90508650
"31.08.2016",973.72,121826200
"01.09.2016",969.95,135494400
"02.09.2016",982.88,112229600
"05.09.2016",982.29,83343690
"06.09.2016",983.44,96790960
"07.09.2016",989.13,106331800
"08.09.2016",981.95,122711300
"09.09.2016",971.71,130143900
"12.09.2016",960.42,207202000
"13.09.2016",956.88,124167600
"14.09.2016",956.62,128275300
"15.09.2016",961.13,114734600
"16.09.2016",949.33,263811400
"19.09.2016",957.9,98013990
"20.09.2016",959.62,98138600
"21.09.2016",963.1,108490800
"22.09.2016",983.65,131847400
"23.09.2016",979.17,95890980
"26.09.2016",960.58,138173500
"27.09.2016",957.48,143529100
"28.09.2016",964.93,117469200
"29.09.2016",962.17,133202300
"30.09.2016",970.75,225961500
"04.10.2016",980.25,171299900
"05.10.2016",976.66,127473900
"06.10.2016",975.3,138812100
"07.10.2016",967.16,158899000
"10.10.2016",978.54,128946000
"11.10.2016",974.67,128038000
"12.10.2016",970.17,122349100
"13.10.2016",961.1,138954200
"14.10.2016",975.04,134122000
"17.10.2016",968.41,90834370
"18.10.2016",979.5,120444000
"19.10.2016",981.03,104759500
"20.10.2016",984.2,152198100
"21.10.2016",984.63,116849200
"24.10.2016",988.38,110942100
"25.10.2016",987.19,121569600
"26.10.2016",982.79,111031800
"27.10.2016",983.14,119602400
"28.10.2016",981.23,106946100
"31.10.2016",978.89,104382200
"01.11.2016",966.56,107503400
"02.11.2016",953.06,130400300
"03.11.2016",949.29,119482400
"04.11.2016",942.9,123568000
"07.11.2016",959.18,115259300
"08.11.2016",960.65,111658300
"09.11.2016",972.42,229647900
"10.11.2016",968.38,250873100
"11.11.2016",970.72,180548100
"14.11.2016",971.89,176062800
"15.11.2016",976.86,144672800
"16.11.2016",971.64,135432500
"17.11.2016",973.67,131115600
"18.11.2016",971.9,138826800
"21.11.2016",973.43,103667700
"22.11.2016",976.25,117758100
"23.11.2016",971.75,127779600
"24.11.2016",974.68,79024790
"25.11.2016",976.32,87207620
"28.11.2016",966.63,102971200
"29.11.2016",969.58,110249500
"30.11.2016",971.21,156928500
"01.12.2016",961.36,130056400
"02.12.2016",958.99,121992300
"05.12.2016",972.78,139657400
"06.12.2016",980.88,176625300
"07.12.2016",998.65,192831000
"08.12.2016",1014.41,228511800
"09.12.2016",1017.83,149566900
"12.12.2016",1016.2,129239400
"13.12.2016",1023.66,138740700
"14.12.2016",1020.49,133518600
"15.12.2016",1029.63,187899200
"16.12.2016",1033.33,240235100
"19.12.2016",1036.17,113738000
"20.12.2016",1039.39,111271400
"21.12.2016",1041.01,93376030
"22.12.2016",1039.92,76655980
"23.12.2016",1039.76,73732230
"27.12.2016",1042.26,44751880
"28.12.2016",1042.65,68811540
"29.12.2016",1040.59,63968990
"30.12.2016",1042.86,59844070
"02.01.2017",1054.03,70287070
"03.01.2017",1053.05,125952200
"04.01.2017",1051.72,116053500
"05.01.2017",1052.42,107055400
"06.01.2017",1053.1,95475460
"09.01.2017",1050.65,112210500
"10.01.2017",1052.09,124704100
"11.01.2017",1058.26,137128400
"12.01.2017",1048.04,136083100
"13.01.2017",1057.24,111498300
"16.01.2017",1052.09,90158710
"17.01.2017",1050.39,120335500
"18.01.2017",1055.93,114946800
"19.01.2017",1055.66,133837400
"20.01.2017",1058.57,151810300
"23.01.2017",1052.26,113034500
"24.01.2017",1057.15,115265400
"25.01.2017",1074.21,163636200
"26.01.2017",1077.67,130850800
"27.01.2017",1075.4,106235200
"30.01.2017",1063.7,113417300
"31.01.2017",1051.73,141646500
"01.02.2017",1061.59,133197600
"02.02.2017",1060.02,132599800
